username|email|role|dr|brand|date|nbtransacm0|nbtransacytd|txtransacnpem0|txtransacnvem0|txtransacnpeytd|txtransacnveytd|txtransacnpesm0|txtransacnvesm0|txtransacnpesytd|txtransacnvesytd|txtransacnpesam0|txtransacnvesam0|txtransacnpesaytd|txtransacnvesaytd|ranknpem0|ranknpeytd|ranknpesm0|ranknpesytd|ranknpesam0|ranknpesaytd|nbreclientscontactablesemailh|nbreclientsinactifsemailh|nbreclientsanimesm0|nbreclientstransformesm0|caclientstransformesm0|cacrmytd
001 SAINT FERREOL|Stferreol1@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|337|1731|44.51|9.79|31.48|5.89|41.84|9.79|30.16|5.89|33.23|8.90|17.27|3.76|39|67|33|58|29|69|562|460|712|12|759|2452.22
002 LE PONTET|avignonpontet2@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|662|3240|30.51|3.17|25.56|2.65|28.10|3.63|24.01|2.69|25.38|3.02|21.02|2.41|89|99|81|88|54|55|1309|1339|1825|43|4332.6|14810.88
003 VITROLLES|vitrolles3@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|513|2473|21.05|1.75|26.77|2.67|20.47|1.75|25.72|2.79|6.63|1.56|12.37|1.86|113|90|104|78|119|96|706|790|1004|11|1747.4|10229.9
004 AVANT CAP|avantcap4@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|700|3391|18.57|2.14|26.75|3.01|17.43|2.29|25.98|3.01|14.57|2.00|16.13|1.95|116|92|114|77|92|80|937|932|1371|28|2164.5|8178.74
005 AIX EN PROVENCE|Aix5@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|666|3139|35.74|5.41|36.41|6.08|33.93|5.11|33.55|5.45|13.06|2.25|15.61|4.11|70|47|59|43|97|83|1397|1166|1874|52|4716.1|19447.48
006 AUBAGNE|Aubagne6@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|436|2090|44.04|10.55|38.76|9.71|41.97|11.01|36.94|9.43|41.51|11.01|36.46|9.43|42|40|31|32|14|17|1213|1498|1691|30|5167.9|18288.48
007 VILLARS|Villars7@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|607|3079|33.94|1.98|35.04|2.47|30.97|1.65|31.70|2.18|16.80|2.64|18.42|2.83|76|57|69|52|81|64|963|478|1210|42|3621.3|13788.65
009 PERPIGNAN|Perpignan9@louispion.fr|ROLE_BOUTIQUE|Romain DEBROISE|LOUIS PION|2016-05-01 00:00:00+02|813|3854|17.47|4.31|19.15|3.48|14.15|3.69|16.50|2.88|13.90|3.69|16.17|3.06|119|117|118|114|93|79|1144|1682|1704|33|4273.2|17503.67
010 ANNECY|Annecy10@louispion.fr|ROLE_BOUTIQUE|Céline BRAISSAND|LOUIS PION|2016-05-01 00:00:00+02|712|3710|33.71|7.30|36.50|7.68|30.06|6.74|33.10|7.17|28.37|7.87|31.78|7.52|78|46|75|46|45|26|1649|1874|2308|55|3987.9|23199.8
012 TOULON GRAND VAR|Toulonvar12@louispion.fr|ROLE_BOUTIQUE|Claire LUNGAVIA|LOUIS PION|2016-05-01 00:00:00+02|673|3302|26.15|13.52|26.41|12.30|24.67|13.22|25.32|11.69|4.46|3.71|3.97|4.03|101|93|95|80|127|128|831|907|1224|23|1431.8|7411.81
